species_slug,site,url
anarta-hamata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10227
anarta-inconcinna,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10226
anarta-mutata,bugguide,https://bugguide.net/node/view/169218
anarta-mutata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10224
anarta-nigrolunata,bugguide,https://bugguide.net/node/view/388273
anarta-nigrolunata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10327
anarta-oregonica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10228
anarta-trifolii,bugguide,https://bugguide.net/node/view/34458
anarta-trifolii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10223
anathix-aggressa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9963
anathix-puta,bugguide,https://bugguide.net/node/view/309965
anathix-puta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9962
androloma-maccullochii,bugguide,https://bugguide.net/node/view/186568
androloma-maccullochii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9321
andropolia-aedon,bugguide,https://bugguide.net/node/view/86843
andropolia-aedon,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9570
andropolia-contacta,bugguide,https://bugguide.net/node/view/219966
andropolia-contacta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9564
andropolia-diversilineata,bugguide,https://bugguide.net/node/view/611777
andropolia-diversilineata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9563
andropolia-theodori,bugguide,https://bugguide.net/node/view/268164
andropolia-theodori,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9571
anhimella-contrahens,bugguide,https://bugguide.net/node/view/143580
anhimella-contrahens,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10530
anhimella-pacifica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10531
anhimella-perbrunnea,bugguide,https://bugguide.net/node/view/106910
anhimella-perbrunnea,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10529
anicla-exuberans,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10905
anicla-tepperi,bugguide,https://bugguide.net/node/view/395479
anicla-tepperi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10910
annaphila-danistica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9850
annaphila-decia,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9868
annaphila-depicta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9866
annaphila-diva,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9869
annaphila-divinula,bugguide,https://bugguide.net/node/view/535768
annaphila-divinula,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9862
annaphila-lithosina,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9863
annaphila-macfarlandi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9867
annaphila-mera,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9852
annaphila-miona,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9864
antepirrhoe-semiatrata,bamona,https://www.butterfliesandmoths.org/species/Antepirrhoe-semiatrata
antepirrhoe-semiatrata,bugguide,https://bugguide.net/node/view/42352
antepirrhoe-semiatrata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=7210
antheraea-polyphemus,bamona,https://www.butterfliesandmoths.org/species?l=3290
antheraea-polyphemus,bugguide,https://bugguide.net/node/view/427
antheraea-polyphemus,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=7757
anticlea-vasiliata,bamona,https://www.butterfliesandmoths.org/species/Anticlea-vasiliata
anticlea-vasiliata,bugguide,https://bugguide.net/node/view/14992
anticlea-vasiliata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=7329
apamea-acera,bugguide,https://bugguide.net/node/view/625380
apamea-acera,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9347
apamea-albina,bugguide,https://bugguide.net/node/view/625380
apamea-albina,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9347
apamea-alia,bugguide,https://bugguide.net/node/view/117922
apamea-alia,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9351
apamea-amputatrix,bugguide,https://bugguide.net/node/view/10545
apamea-amputatrix,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9348
apamea-antennata,bugguide,https://bugguide.net/node/view/143813
apamea-antennata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9334
apamea-atriclava,bugguide,https://bugguide.net/node/view/500271
apamea-atriclava,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9333.1
apamea-auranticolor,bugguide,https://bugguide.net/node/view/138312
apamea-auranticolor,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9339
apamea-burgessi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9378
apamea-centralis,bugguide,https://bugguide.net/node/view/722189
apamea-centralis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9354
apamea-cinefacta,bugguide,https://bugguide.net/node/view/143815
apamea-cinefacta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9357
apamea-cogitata,bugguide,https://bugguide.net/node/view/35477
apamea-cogitata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9367.1
apamea-commoda,bugguide,https://bugguide.net/node/view/392301
apamea-commoda,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9359
apamea-contradicta,bugguide,https://bugguide.net/node/view/514744
apamea-contradicta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9394
apamea-cuculliformis,bugguide,https://bugguide.net/node/view/143814
apamea-cuculliformis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9325
apamea-devastator,bugguide,https://bugguide.net/node/view/10537
apamea-devastator,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9382
apamea-digitula,bugguide,https://bugguide.net/node/view/626183
apamea-digitula,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9364.1
apamea-impulsa,bugguide,https://bugguide.net/node/view/40722
apamea-impulsa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9360
apamea-indocilis,bugguide,https://bugguide.net/node/view/714708
apamea-indocilis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9362
apamea-inficita,bugguide,https://bugguide.net/node/view/396696
apamea-inficita,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9369
apamea-inordinata,bugguide,https://bugguide.net/node/view/554728
apamea-inordinata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9353
apamea-lignicolora,bugguide,https://bugguide.net/node/view/43325
apamea-lignicolora,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9333
apamea-longula,bugguide,https://bugguide.net/node/view/720926
apamea-longula,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9383
apamea-lutosa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9372
apamea-maxima,bugguide,https://bugguide.net/node/view/198843
apamea-maxima,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9337
apamea-niveivenosa,bugguide,https://bugguide.net/node/view/218597
apamea-niveivenosa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9374
apamea-occidens,bugguide,https://bugguide.net/node/view/140074
apamea-occidens,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9346
apamea-plutonia,bugguide,https://bugguide.net/node/view/143817
apamea-plutonia,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9344
apamea-scoparia,bugguide,https://bugguide.net/node/view/89228
apamea-scoparia,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9365
apamea-siskiyou,bugguide,https://bugguide.net/node/view/697590
apamea-siskiyou,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9334.1
apamea-sora,bugguide,https://bugguide.net/node/view/679132
apamea-sora,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9339.1
apamea-sordens,bugguide,https://bugguide.net/node/view/40714
apamea-sordens,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9364
apamea-spaldingi,bugguide,https://bugguide.net/node/view/523568
apamea-spaldingi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9356
apamea-tahoeensis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9339.2
apamea-unanimis,bugguide,https://bugguide.net/node/view/10549
apamea-unanimis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9362.2
apamea-unita,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9355
apamea-vultuosa,bugguide,https://bugguide.net/node/view/194028
apamea-vultuosa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9341
apamea-zeta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9385
apantesis-arizoniensis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8181.1
apantesis-behrii,bugguide,https://bugguide.net/node/view/616864
apantesis-behrii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8179.3
apantesis-blakei,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8185
apantesis-bolanderi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8183
apantesis-carlotta,bugguide,https://bugguide.net/node/view/34313
apantesis-carlotta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8171.1
apantesis-complicata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8177.2
apantesis-doris,bugguide,https://bugguide.net/node/view/132867
apantesis-doris,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8198
apantesis-edwardsii,bugguide,https://bugguide.net/node/view/421118
apantesis-edwardsii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8177.1
apantesis-elongata,bugguide,https://bugguide.net/node/view/642238
apantesis-elongata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8184
apantesis-eureka,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8179.1
apantesis-margo,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8172.1
apantesis-nevadensis,bugguide,https://bugguide.net/node/view/135391
apantesis-nevadensis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8179
apantesis-obliterata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8174
apantesis-ornata,bugguide,https://bugguide.net/node/view/50411
apantesis-ornata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8177
apantesis-parthenice,bugguide,https://bugguide.net/node/view/5907
apantesis-parthenice,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8196
apantesis-quenseli,bugguide,https://bugguide.net/node/view/515442
apantesis-quenseli,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8172
apantesis-speciosa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8175.1
apantesis-virgo,bugguide,https://bugguide.net/node/view/3068
apantesis-virgo,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8197
apantesis-virguncula,bugguide,https://bugguide.net/node/view/25113
apantesis-virguncula,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8175
apantesis-williamsii,bugguide,https://bugguide.net/node/view/76152
apantesis-williamsii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8186
apantesis-yukona,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8179.4
aplectoides-condita,bugguide,https://bugguide.net/node/view/314730
aplectoides-condita,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10999
arachnis-citra,bugguide,https://bugguide.net/node/view/103464
arachnis-citra,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8151.1
archiearis-infans,bamona,https://www.butterfliesandmoths.org/species/Archiearis-infans
archiearis-infans,bugguide,https://bugguide.net/node/view/38897
archiearis-infans,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=6256
arctia-alpina,bugguide,https://bugguide.net/node/view/2143547
arctia-alpina,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8164
arctia-caja,bugguide,https://bugguide.net/node/view/26615
arctia-caja,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8166
arctia-lapponica,bugguide,https://bugguide.net/node/view/987133
arctia-lapponica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8165
arctia-opulenta,bugguide,https://bugguide.net/node/view/397215
arctia-opulenta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8166.1
arctia-parthenos,bugguide,https://bugguide.net/node/view/29651
arctia-parthenos,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8162
arctia-plantaginis,bugguide,https://bugguide.net/node/view/136494
arctia-plantaginis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8127
arctia-virginalis,bugguide,https://bugguide.net/node/view/25622
arctia-virginalis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8163
arctia-yarrowii,bugguide,https://bugguide.net/node/view/467705
arctia-yarrowii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8165.2
ascalapha-odorata,bugguide,https://bugguide.net/node/view/23779
ascalapha-odorata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8649
aseptis-binotata,bugguide,https://bugguide.net/node/view/134836
aseptis-binotata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9532
aseptis-characta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9543
aseptis-ethnica,bugguide,https://bugguide.net/node/view/143824
aseptis-ethnica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9531
aseptis-fanatica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9531.1
aseptis-fumosa,bugguide,https://bugguide.net/node/view/245956
aseptis-fumosa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9527
autographa-ampla,bugguide,https://bugguide.net/node/view/39667
autographa-ampla,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8923
autographa-bimaculata,bugguide,https://bugguide.net/node/view/42772
autographa-bimaculata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8911
autographa-buraetica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8913.1
autographa-californica,bugguide,https://bugguide.net/node/view/40188
autographa-californica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8914
autographa-corusca,bugguide,https://bugguide.net/node/view/135408
autographa-corusca,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8918
autographa-flagellum,bugguide,https://bugguide.net/node/view/669449
autographa-flagellum,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8916
autographa-mappa,bugguide,https://bugguide.net/node/view/199116
autographa-mappa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8912
autographa-metallica,bugguide,https://bugguide.net/node/view/160449
