state,legacy_name,stable_id,notes
MT,Petroleum,US:30069,
MT,Phillips,US:30071,
MT,Powell,US:30077,
MT,Ravalli,US:30081,
MT,Sanders,US:30089,
MT,Silver Bow,US:30093,
MT,Stillwater,US:30095,
MT,Sweet Grass,US:30097,
MT,Teton,US:30099,
MT,Toole,US:30101,
MT,Treasure,US:30103,
MT,Yellowstone,US:30111,
OR,Baker,US:41001,
OR,Benton,US:41003,
OR,Clackamas,US:41005,
OR,Clatsop,US:41007,
OR,Columbia,US:41009,
OR,Coos,US:41011,
OR,Crook,US:41013,
OR,Curry,US:41015,
OR,Deschutes,US:41017,
OR,Douglas,US:41019,
OR,Gilliam,US:41021,
OR,Grant,US:41023,
OR,Harney,US:41025,
OR,Hood River,US:41027,
OR,Jackson,US:41029,
OR,Jefferson,US:41031,
OR,Josephine,US:41033,
OR,Klamath,US:41035,
OR,Lake,US:41037,
OR,Lane,US:41039,
OR,Lincoln,US:41041,
OR,Linn,US:41043,
OR,Malheur,US:41045,
OR,Marion,US:41047,
OR,Morrow,US:41049,
OR,Multnomah,US:41051,
OR,Polk,US:41053,
OR,Sherman,US:41055,
OR,Tillamook,US:41057,
OR,Umatilla,US:41059,
OR,Union,US:41061,
OR,Wallowa,US:41063,
OR,Wasco,US:41065,
OR,Washington,US:41067,
OR,Wheeler,US:41069,
OR,Yamhill,US:41071,
WA,Adams,US:53001,
WA,Asotin,US:53003,
WA,Benton,US:53005,
WA,Chelan,US:53007,
WA,Clallam,US:53009,
WA,Clark,US:53011,
WA,Columbia,US:53013,
WA,Cowlitz,US:53015,
WA,Douglas,US:53017,
WA,Ferry,US:53019,
WA,Franklin,US:53021,
WA,Garfield,US:53023,
WA,Grant,US:53025,
WA,Grays Harbor,US:53027,
WA,Island,US:53029,
WA,Jefferson,US:53031,
WA,King,US:53033,
WA,Kitsap,US:53035,
WA,Kittitas,US:53037,
WA,Klickitat,US:53039,
WA,Lake,US:41037,"Data-entry anomaly: no Lake County exists in WA; record id 155616's coordinates (lat 42.28/lon -120.19) fall in south-central Oregon; mapped to Lake County, OR (state mis-tagged in legacy DB) [VERIFIED: US Census national_county2020.txt]"
WA,Lewis,US:53041,
WA,Lincoln,US:53043,
WA,Mason,US:53045,
WA,Okanogan,US:53047,
WA,Pacific,US:53049,
WA,Pend Oreille,US:53051,
WA,Pierce,US:53053,
WA,San Juan,US:53055,
WA,Skagit,US:53057,
WA,Skamania,US:53059,
WA,Snohomish,US:53061,
WA,Spokane,US:53063,
WA,Stevens,US:53065,
WA,Thurston,US:53067,
WA,Wahkiakum,US:53069,
WA,Walla Walla,US:53071,
WA,Whatcom,US:53073,
WA,Whitman,US:53075,
WA,Yakima,US:53077,
BC,Alberni-Clayoquot,CA:5923,
BC,Bulkley-Nechako,CA:5951,
BC,Capital,CA:5917,
BC,Cariboo,CA:5941,
BC,Central Coast,CA:5945,
BC,Central Kootenay,CA:5903,
BC,Central Okanagan,CA:5935,
BC,Columbia-Shuswap,CA:5939,
BC,Comox Valley,CA:5926,
BC,Cowichan Valley,CA:5919,
BC,Cranbrook,CA:5901,"Cranbrook is a city within the Regional District of East Kootenay, not itself a regional district; legacy data-entry error (town name recorded where a regional district name was expected) — mapped to containing RD, East Kootenay (CDUID 5901) [VERIFIED: StatCan CR2016Geo API cpt=59]"
BC,East Kootenay,CA:5901,
BC,Fraser Valley,CA:5909,
BC,Fraser-Fort George,CA:5953,
BC,Greater Vancouver,CA:5915,Administratively renamed Metro Vancouver Regional District (~2007); CDUID unchanged per StatCan convention [VERIFIED: StatCan CR2016Geo API cpt=59]
BC,Kitimat-Stikine,CA:5949,
BC,Kootenay Boundary,CA:5905,
BC,Metro Vancouver,CA:5915,"Current name for the district legacy-recorded as ""Greater Vancouver""; same CDUID 5915 [VERIFIED: StatCan CR2016Geo API cpt=59]"
BC,Mount Waddington,CA:5943,
BC,Nanaimo,CA:5921,
BC,North Okanagan,CA:5937,
BC,Northern Rockies,CA:5959,"Legally a ""Regional Municipality,"" not a ""Regional District""; absent from the BC Data Catalogue ABMS_REGIONAL_DISTRICTS_SP boundary layer Phase 45 uses as its primary boundary source — flag forward to Phases 45/46 for a supplementary boundary source [VERIFIED: StatCan CR2016Geo API cpt=59]"
BC,Okanagan-Similkameen,CA:5907,
BC,Peace River,CA:5955,
BC,Powell River,CA:5927,"Renamed qathet Regional District, 2019; CDUID unchanged per StatCan convention [VERIFIED: StatCan CR2016Geo API cpt=59]"
BC,Skeena-Queen Charlotte,CA:5947,"Renamed North Coast Regional District, 2016 [VERIFIED: StatCan CR2016Geo API cpt=59; statcan.gc.ca SGC reference]"
BC,Squamish-Lillooet,CA:5931,
BC,Stikine,CA:5957,"Legally a ""Region"" (unincorporated), not a regional district; StatCan CD type is ""Region"" [VERIFIED: StatCan CR2016Geo API cpt=59]"
BC,Strathcona,CA:5924,
BC,Sunshine Coast,CA:5929,
BC,Thompson-Nicola,CA:5933,
AB,Division No. 4,CA:4804,"Alberta census division (StatCan CD type), not a ""county"" or ""regional district""; out of Browse-filter scope (Phase 48 dropdown) per CONTEXT.md, but retains an assigned stable ID [VERIFIED: StatCan CR2016Geo API cpt=48]"
