district_id_a,district_id_b
US:16079,US:30089
US:16087,US:41001
US:16087,US:41045
US:30001,US:30023
US:30001,US:30039
US:30001,US:30057
US:30001,US:30081
US:30001,US:30093
US:30003,US:30009
US:30003,US:30075
US:30003,US:30087
US:30003,US:30103
US:30003,US:30111
US:30005,US:30015
US:30005,US:30027
US:30005,US:30041
US:30005,US:30071
US:30007,US:30031
US:30007,US:30043
US:30007,US:30049
US:30007,US:30059
US:30009,US:30067
US:30009,US:30095
US:30009,US:30111
US:30011,US:30017
US:30011,US:30025
US:30011,US:30075
US:30013,US:30015
US:30013,US:30045
US:30013,US:30049
US:30013,US:30059
US:30013,US:30099
US:30015,US:30027
US:30015,US:30041
US:30015,US:30045
US:30015,US:30051
US:30015,US:30073
US:30015,US:30099
US:30017,US:30025
US:30017,US:30033
US:30017,US:30075
US:30017,US:30079
US:30017,US:30087
US:30019,US:30085
US:30019,US:30091
US:30019,US:30105
US:30021,US:30055
US:30021,US:30079
US:30021,US:30083
US:30021,US:30109
US:30023,US:30039
US:30023,US:30043
US:30023,US:30077
US:30023,US:30081
US:30023,US:30093
US:30025,US:30079
US:30025,US:30109
US:30027,US:30037
US:30027,US:30045
US:30027,US:30065
US:30027,US:30069
US:30027,US:30071
US:30027,US:30107
US:30029,US:30035
US:30029,US:30047
US:30029,US:30049
US:30029,US:30053
US:30029,US:30063
US:30029,US:30073
US:30029,US:30077
US:30029,US:30089
US:30029,US:30099
US:30031,US:30043
US:30031,US:30057
US:30031,US:30059
US:30031,US:30067
US:30033,US:30055
US:30033,US:30069
US:30033,US:30071
US:30033,US:30079
US:30033,US:30087
US:30033,US:30105
US:30035,US:30073
US:30035,US:30101
US:30037,US:30065
US:30037,US:30095
US:30037,US:30097
US:30037,US:30107
US:30037,US:30111
US:30039,US:30063
US:30039,US:30077
US:30039,US:30081
US:30041,US:30051
US:30043,US:30049
US:30043,US:30057
US:30043,US:30077
US:30043,US:30093
US:30045,US:30059
US:30045,US:30107
US:30047,US:30063
US:30047,US:30089
US:30049,US:30059
US:30049,US:30077
US:30049,US:30099
US:30051,US:30073
US:30051,US:30101
US:30053,US:30089
US:30055,US:30079
US:30055,US:30083
US:30055,US:30085
US:30055,US:30105
US:30057,US:30093
US:30059,US:30067
US:30059,US:30097
US:30059,US:30107
US:30061,US:30063
US:30061,US:30089
US:30063,US:30077
US:30063,US:30081
US:30063,US:30089
US:30065,US:30069
US:30065,US:30087
US:30065,US:30111
US:30067,US:30095
US:30067,US:30097
US:30069,US:30071
US:30069,US:30087
US:30071,US:30105
US:30073,US:30099
US:30073,US:30101
US:30075,US:30087
US:30079,US:30087
US:30079,US:30109
US:30083,US:30085
US:30083,US:30109
US:30085,US:30091
US:30085,US:30105
US:30087,US:30103
US:30087,US:30111
US:30095,US:30097
US:30095,US:30111
US:30097,US:30107
US:30103,US:30111
US:41001,US:41023
US:41001,US:41045
US:41001,US:41061
US:41001,US:41063
US:41003,US:41039
US:41003,US:41041
US:41003,US:41043
US:41003,US:41053
US:41005,US:41027
US:41005,US:41047
US:41005,US:41051
US:41005,US:41065
US:41005,US:41067
US:41005,US:41071
US:41007,US:41009
US:41007,US:41057
US:41007,US:41067
US:41007,US:53069
US:41009,US:41051
US:41009,US:41057
US:41009,US:41067
US:41009,US:53011
US:41009,US:53015
US:41009,US:53069
US:41011,US:41015
US:41011,US:41019
US:41013,US:41017
US:41013,US:41023
US:41013,US:41025
US:41013,US:41031
US:41013,US:41069
US:41015,US:41019
US:41015,US:41033
US:41017,US:41025
US:41017,US:41031
US:41017,US:41035
US:41017,US:41037
US:41017,US:41039
US:41017,US:41043
US:41019,US:41029
US:41019,US:41033
US:41019,US:41035
US:41019,US:41039
US:41021,US:41049
US:41021,US:41055
US:41021,US:41065
US:41021,US:41069
US:41021,US:53039
US:41023,US:41025
US:41023,US:41045
US:41023,US:41049
US:41023,US:41059
US:41023,US:41061
US:41023,US:41069
US:41025,US:41037
US:41025,US:41045
US:41027,US:41051
US:41027,US:41065
US:41027,US:53039
US:41027,US:53059
US:41029,US:41033
US:41029,US:41035
US:41031,US:41043
US:41031,US:41047
US:41031,US:41065
US:41031,US:41069
US:41035,US:41037
US:41035,US:41039
US:41039,US:41041
US:41039,US:41043
US:41041,US:41053
US:41041,US:41057
US:41043,US:41047
US:41043,US:41053
US:41047,US:41053
US:41047,US:41065
US:41047,US:41071
US:41049,US:41059
US:41049,US:41069
US:41049,US:53005
US:41049,US:53039
US:41051,US:41067
US:41051,US:53011
US:41051,US:53059
US:41053,US:41057
US:41053,US:41071
US:41055,US:41065
US:41055,US:41069
US:41055,US:53039
US:41057,US:41067
US:41057,US:41071
US:41059,US:41061
US:41059,US:41063
US:41059,US:53005
US:41059,US:53013
US:41059,US:53071
US:41061,US:41063
US:41063,US:53003
US:41063,US:53013
US:41063,US:53023
US:41065,US:41069
US:41065,US:53039
US:41067,US:41071
US:53001,US:53021
US:53001,US:53025
US:53001,US:53043
US:53001,US:53075
US:53003,US:53023
US:53003,US:53075
US:53005,US:53021
US:53005,US:53025
US:53005,US:53039
US:53005,US:53071
US:53005,US:53077
US:53007,US:53017
US:53007,US:53033
US:53007,US:53037
US:53007,US:53047
US:53007,US:53057
US:53007,US:53061
US:53009,US:53031
US:53011,US:53015
US:53011,US:53059
US:53013,US:53021
US:53013,US:53023
US:53013,US:53071
US:53013,US:53075
US:53015,US:53041
US:53015,US:53059
US:53015,US:53069
US:53017,US:53025
US:53017,US:53037
US:53017,US:53047
US:53019,US:53043
US:53019,US:53047
US:53019,US:53065
US:53021,US:53025
US:53021,US:53071
US:53021,US:53075
US:53023,US:53075
US:53025,US:53037
US:53025,US:53043
US:53025,US:53047
US:53025,US:53077
US:53027,US:53031
US:53027,US:53041
US:53027,US:53045
US:53027,US:53049
US:53027,US:53067
US:53029,US:53057
US:53029,US:53061
US:53031,US:53045
US:53033,US:53035
US:53033,US:53037
US:53033,US:53053
US:53033,US:53061
US:53033,US:53077
US:53035,US:53045
US:53035,US:53053
US:53037,US:53053
US:53037,US:53077
US:53039,US:53059
US:53039,US:53077
US:53041,US:53049
US:53041,US:53053
US:53041,US:53059
US:53041,US:53067
US:53041,US:53069
US:53041,US:53077
US:53043,US:53047
US:53043,US:53063
US:53043,US:53065
US:53043,US:53075
US:53045,US:53053
US:53045,US:53067
US:53047,US:53057
US:53047,US:53073
US:53049,US:53069
US:53051,US:53063
US:53051,US:53065
US:53053,US:53067
US:53053,US:53077
US:53057,US:53061
US:53057,US:53073
US:53059,US:53077
US:53063,US:53065
US:53063,US:53075
US:53071,US:53075
