derived_path,source_path,kind,variant,bytes
derived/abagrotis-forbesi/Abagrotis forbesi-B-D@full.webp,abagrotis-forbesi/Abagrotis forbesi-B-D.jpg,legacy,full,87190
derived/abagrotis-forbesi/Abagrotis forbesi-B-V@320h.webp,abagrotis-forbesi/Abagrotis forbesi-B-V.jpg,legacy,320h,43030
derived/abagrotis-forbesi/Abagrotis forbesi-B-V@full.webp,abagrotis-forbesi/Abagrotis forbesi-B-V.jpg,legacy,full,87784
derived/abagrotis-forbesi/Abagrotis forbesi-C-D@320h.webp,abagrotis-forbesi/Abagrotis forbesi-C-D.jpg,legacy,320h,41582
derived/abagrotis-forbesi/Abagrotis forbesi-C-D@full.webp,abagrotis-forbesi/Abagrotis forbesi-C-D.jpg,legacy,full,83574
derived/abagrotis-forbesi/Abagrotis forbesi-C-V@320h.webp,abagrotis-forbesi/Abagrotis forbesi-C-V.jpg,legacy,320h,42140
derived/abagrotis-forbesi/Abagrotis forbesi-C-V@full.webp,abagrotis-forbesi/Abagrotis forbesi-C-V.jpg,legacy,full,85062
derived/abagrotis-forbesi/Abagrotis forbesi-D-D@320h.webp,abagrotis-forbesi/Abagrotis forbesi-D-D.jpg,legacy,320h,40342
derived/abagrotis-forbesi/Abagrotis forbesi-D-D@full.webp,abagrotis-forbesi/Abagrotis forbesi-D-D.jpg,legacy,full,81304
derived/abagrotis-forbesi/Abagrotis forbesi-D-V@320h.webp,abagrotis-forbesi/Abagrotis forbesi-D-V.jpg,legacy,320h,41460
derived/abagrotis-forbesi/Abagrotis forbesi-D-V@full.webp,abagrotis-forbesi/Abagrotis forbesi-D-V.jpg,legacy,full,83068
derived/abagrotis-glenni/Abagrotis glenni-A-D@320h.webp,abagrotis-glenni/Abagrotis glenni-A-D.jpg,legacy,320h,42750
derived/abagrotis-glenni/Abagrotis glenni-A-D@full.webp,abagrotis-glenni/Abagrotis glenni-A-D.jpg,legacy,full,85924
derived/abagrotis-glenni/Abagrotis glenni-A-V@320h.webp,abagrotis-glenni/Abagrotis glenni-A-V.jpg,legacy,320h,43452
derived/abagrotis-glenni/Abagrotis glenni-A-V@full.webp,abagrotis-glenni/Abagrotis glenni-A-V.jpg,legacy,full,87162
derived/abagrotis-glenni/Abagrotis glenni-B-D@320h.webp,abagrotis-glenni/Abagrotis glenni-B-D.jpg,legacy,320h,42806
derived/abagrotis-glenni/Abagrotis glenni-B-D@full.webp,abagrotis-glenni/Abagrotis glenni-B-D.jpg,legacy,full,86448
derived/abagrotis-glenni/Abagrotis glenni-B-V@320h.webp,abagrotis-glenni/Abagrotis glenni-B-V.jpg,legacy,320h,42226
derived/abagrotis-glenni/Abagrotis glenni-B-V@full.webp,abagrotis-glenni/Abagrotis glenni-B-V.jpg,legacy,full,86350
derived/abagrotis-hermina/Abagrotis hermina-B-D@320h.webp,abagrotis-hermina/Abagrotis hermina-B-D.jpg,legacy,320h,41926
derived/abagrotis-hermina/Abagrotis hermina-B-D@full.webp,abagrotis-hermina/Abagrotis hermina-B-D.jpg,legacy,full,83642
derived/abagrotis-hermina/Abagrotis hermina-B-V@320h.webp,abagrotis-hermina/Abagrotis hermina-B-V.jpg,legacy,320h,40626
derived/abagrotis-hermina/Abagrotis hermina-B-V@full.webp,abagrotis-hermina/Abagrotis hermina-B-V.jpg,legacy,full,78502
derived/abagrotis-mirabilis/Abagrotis mirabilis-A-D@320h.webp,abagrotis-mirabilis/Abagrotis mirabilis-A-D.jpg,legacy,320h,42646
derived/abagrotis-mirabilis/Abagrotis mirabilis-A-D@full.webp,abagrotis-mirabilis/Abagrotis mirabilis-A-D.jpg,legacy,full,85948
derived/abagrotis-mirabilis/Abagrotis mirabilis-A-V@320h.webp,abagrotis-mirabilis/Abagrotis mirabilis-A-V.jpg,legacy,320h,43214
derived/abagrotis-mirabilis/Abagrotis mirabilis-A-V@full.webp,abagrotis-mirabilis/Abagrotis mirabilis-A-V.jpg,legacy,full,86760
derived/abagrotis-nanalis/Abagrotis nanalis-A-D@320h.webp,abagrotis-nanalis/Abagrotis nanalis-A-D.jpg,legacy,320h,44172
derived/abagrotis-nanalis/Abagrotis nanalis-A-D@full.webp,abagrotis-nanalis/Abagrotis nanalis-A-D.jpg,legacy,full,87910
derived/abagrotis-nanalis/Abagrotis nanalis-A-V@320h.webp,abagrotis-nanalis/Abagrotis nanalis-A-V.jpg,legacy,320h,46266
derived/abagrotis-nanalis/Abagrotis nanalis-A-V@full.webp,abagrotis-nanalis/Abagrotis nanalis-A-V.jpg,legacy,full,92822
derived/abagrotis-nefascia/Abagrotis nefascia-A-D@320h.webp,abagrotis-nefascia/Abagrotis nefascia-A-D.jpg,legacy,320h,41820
derived/abagrotis-nefascia/Abagrotis nefascia-A-D@full.webp,abagrotis-nefascia/Abagrotis nefascia-A-D.jpg,legacy,full,84354
derived/abagrotis-nefascia/Abagrotis nefascia-A-V@320h.webp,abagrotis-nefascia/Abagrotis nefascia-A-V.jpg,legacy,320h,41632
derived/abagrotis-nefascia/Abagrotis nefascia-A-V@full.webp,abagrotis-nefascia/Abagrotis nefascia-A-V.jpg,legacy,full,84512
derived/abagrotis-orbis/Abagrotis orbis-A-D@320h.webp,abagrotis-orbis/Abagrotis orbis-A-D.jpg,legacy,320h,42212
derived/abagrotis-orbis/Abagrotis orbis-A-D@full.webp,abagrotis-orbis/Abagrotis orbis-A-D.jpg,legacy,full,87796
derived/abagrotis-orbis/Abagrotis orbis-A-V@320h.webp,abagrotis-orbis/Abagrotis orbis-A-V.jpg,legacy,320h,43274
derived/abagrotis-orbis/Abagrotis orbis-A-V@full.webp,abagrotis-orbis/Abagrotis orbis-A-V.jpg,legacy,full,88082
derived/abagrotis-petalama/Abagrotis petalama-A-D@320h.webp,abagrotis-petalama/Abagrotis petalama-A-D.jpg,legacy,320h,41486
derived/abagrotis-petalama/Abagrotis petalama-A-D@full.webp,abagrotis-petalama/Abagrotis petalama-A-D.jpg,legacy,full,85558
derived/abagrotis-petalama/Abagrotis petalama-A-V@320h.webp,abagrotis-petalama/Abagrotis petalama-A-V.jpg,legacy,320h,43000
derived/abagrotis-petalama/Abagrotis petalama-A-V@full.webp,abagrotis-petalama/Abagrotis petalama-A-V.jpg,legacy,full,88430
derived/abagrotis-placida/Abagrotis placida-A-D@320h.webp,abagrotis-placida/Abagrotis placida-A-D.jpg,legacy,320h,42136
derived/abagrotis-placida/Abagrotis placida-A-D@full.webp,abagrotis-placida/Abagrotis placida-A-D.jpg,legacy,full,85492
derived/abagrotis-placida/Abagrotis placida-A-V@320h.webp,abagrotis-placida/Abagrotis placida-A-V.jpg,legacy,320h,44008
derived/abagrotis-placida/Abagrotis placida-A-V@full.webp,abagrotis-placida/Abagrotis placida-A-V.jpg,legacy,full,90016
derived/abagrotis-placida/Abagrotis placida-B-D@320h.webp,abagrotis-placida/Abagrotis placida-B-D.jpg,legacy,320h,42584
derived/abagrotis-placida/Abagrotis placida-B-D@full.webp,abagrotis-placida/Abagrotis placida-B-D.jpg,legacy,full,87678
derived/abagrotis-placida/Abagrotis placida-B-V@320h.webp,abagrotis-placida/Abagrotis placida-B-V.jpg,legacy,320h,44330
derived/abagrotis-placida/Abagrotis placida-B-V@full.webp,abagrotis-placida/Abagrotis placida-B-V.jpg,legacy,full,91252
derived/abagrotis-pulchrata/Abagrotis pulchrata-A-D@320h.webp,abagrotis-pulchrata/Abagrotis pulchrata-A-D.jpg,legacy,320h,42430
derived/abagrotis-pulchrata/Abagrotis pulchrata-A-D@full.webp,abagrotis-pulchrata/Abagrotis pulchrata-A-D.jpg,legacy,full,84322
derived/abagrotis-pulchrata/Abagrotis pulchrata-A-V@320h.webp,abagrotis-pulchrata/Abagrotis pulchrata-A-V.jpg,legacy,320h,44132
derived/abagrotis-pulchrata/Abagrotis pulchrata-A-V@full.webp,abagrotis-pulchrata/Abagrotis pulchrata-A-V.jpg,legacy,full,88572
derived/abagrotis-reedi/Abagrotis reedi-A-D@320h.webp,abagrotis-reedi/Abagrotis reedi-A-D.jpg,legacy,320h,40880
derived/abagrotis-reedi/Abagrotis reedi-A-D@full.webp,abagrotis-reedi/Abagrotis reedi-A-D.jpg,legacy,full,83708
derived/abagrotis-reedi/Abagrotis reedi-A-V@320h.webp,abagrotis-reedi/Abagrotis reedi-A-V.jpg,legacy,320h,42600
derived/abagrotis-reedi/Abagrotis reedi-A-V@full.webp,abagrotis-reedi/Abagrotis reedi-A-V.jpg,legacy,full,85792
derived/abagrotis-reedi/Abagrotis reedi-B-D@320h.webp,abagrotis-reedi/Abagrotis reedi-B-D.jpg,legacy,320h,41968
derived/abagrotis-reedi/Abagrotis reedi-B-D@full.webp,abagrotis-reedi/Abagrotis reedi-B-D.jpg,legacy,full,84696
derived/abagrotis-reedi/Abagrotis reedi-B-V@320h.webp,abagrotis-reedi/Abagrotis reedi-B-V.jpg,legacy,320h,43172
derived/abagrotis-reedi/Abagrotis reedi-B-V@full.webp,abagrotis-reedi/Abagrotis reedi-B-V.jpg,legacy,full,86638
derived/abagrotis-rubricundis/Abagrotis rubicundis-A-D@320h.webp,abagrotis-rubricundis/Abagrotis rubicundis-A-D.jpg,legacy,320h,41772
derived/abagrotis-rubricundis/Abagrotis rubicundis-A-D@full.webp,abagrotis-rubricundis/Abagrotis rubicundis-A-D.jpg,legacy,full,84140
derived/abagrotis-rubricundis/Abagrotis rubicundis-A-V@320h.webp,abagrotis-rubricundis/Abagrotis rubicundis-A-V.jpg,legacy,320h,42266
derived/abagrotis-rubricundis/Abagrotis rubicundis-A-V@full.webp,abagrotis-rubricundis/Abagrotis rubicundis-A-V.jpg,legacy,full,84868
derived/abagrotis-scopeops/Abagrotis scopeops-A-D@320h.webp,abagrotis-scopeops/Abagrotis scopeops-A-D.jpg,legacy,320h,42280
derived/abagrotis-scopeops/Abagrotis scopeops-A-D@full.webp,abagrotis-scopeops/Abagrotis scopeops-A-D.jpg,legacy,full,85496
derived/abagrotis-scopeops/Abagrotis scopeops-A-V@320h.webp,abagrotis-scopeops/Abagrotis scopeops-A-V.jpg,legacy,320h,42442
derived/abagrotis-scopeops/Abagrotis scopeops-A-V@full.webp,abagrotis-scopeops/Abagrotis scopeops-A-V.jpg,legacy,full,85008
derived/abagrotis-striata/Abagrotis striata-A-D@320h.webp,abagrotis-striata/Abagrotis striata-A-D.jpg,legacy,320h,42338
derived/abagrotis-striata/Abagrotis striata-A-D@full.webp,abagrotis-striata/Abagrotis striata-A-D.jpg,legacy,full,84240
derived/abagrotis-striata/Abagrotis striata-A-V@320h.webp,abagrotis-striata/Abagrotis striata-A-V.jpg,legacy,320h,44234
derived/abagrotis-striata/Abagrotis striata-A-V@full.webp,abagrotis-striata/Abagrotis striata-A-V.jpg,legacy,full,88550
derived/abagrotis-striata/Abagrotis striata-B-D@320h.webp,abagrotis-striata/Abagrotis striata-B-D.jpg,legacy,320h,43932
derived/abagrotis-striata/Abagrotis striata-B-D@full.webp,abagrotis-striata/Abagrotis striata-B-D.jpg,legacy,full,87598
derived/abagrotis-striata/Abagrotis striata-B-V@320h.webp,abagrotis-striata/Abagrotis striata-B-V.jpg,legacy,320h,44834
derived/abagrotis-striata/Abagrotis striata-B-V@full.webp,abagrotis-striata/Abagrotis striata-B-V.jpg,legacy,full,89448
derived/abagrotis-trigona/Abagrotis trigona-A-D@320h.webp,abagrotis-trigona/Abagrotis trigona-A-D.jpg,legacy,320h,41020
derived/abagrotis-trigona/Abagrotis trigona-A-D@full.webp,abagrotis-trigona/Abagrotis trigona-A-D.jpg,legacy,full,83848
derived/abagrotis-trigona/Abagrotis trigona-A-V@320h.webp,abagrotis-trigona/Abagrotis trigona-A-V.jpg,legacy,320h,42798
derived/abagrotis-trigona/Abagrotis trigona-A-V@full.webp,abagrotis-trigona/Abagrotis trigona-A-V.jpg,legacy,full,86314
derived/abagrotis-trigona/Abagrotis trigona-B-D@320h.webp,abagrotis-trigona/Abagrotis trigona-B-D.jpg,legacy,320h,42620
derived/abagrotis-trigona/Abagrotis trigona-B-D@full.webp,abagrotis-trigona/Abagrotis trigona-B-D.jpg,legacy,full,87936
derived/abagrotis-trigona/Abagrotis trigona-B-V@320h.webp,abagrotis-trigona/Abagrotis trigona-B-V.jpg,legacy,320h,44130
derived/abagrotis-trigona/Abagrotis trigona-B-V@full.webp,abagrotis-trigona/Abagrotis trigona-B-V.jpg,legacy,full,91542
derived/abagrotis-trigona/Abagrotis trigona-C-D@320h.webp,abagrotis-trigona/Abagrotis trigona-C-D.jpg,legacy,320h,44434
derived/abagrotis-trigona/Abagrotis trigona-C-D@full.webp,abagrotis-trigona/Abagrotis trigona-C-D.jpg,legacy,full,91462
derived/abagrotis-trigona/Abagrotis trigona-C-V@320h.webp,abagrotis-trigona/Abagrotis trigona-C-V.jpg,legacy,320h,45338
derived/abagrotis-trigona/Abagrotis trigona-C-V@full.webp,abagrotis-trigona/Abagrotis trigona-C-V.jpg,legacy,full,94178
derived/abagrotis-turbulenta/Abagrotis turbulenta-A-D@320h.webp,abagrotis-turbulenta/Abagrotis turbulenta-A-D.jpg,legacy,320h,42678
derived/abagrotis-turbulenta/Abagrotis turbulenta-A-D@full.webp,abagrotis-turbulenta/Abagrotis turbulenta-A-D.jpg,legacy,full,87600
derived/abagrotis-turbulenta/Abagrotis turbulenta-A-V@320h.webp,abagrotis-turbulenta/Abagrotis turbulenta-A-V.jpg,legacy,320h,44334
derived/abagrotis-turbulenta/Abagrotis turbulenta-A-V@full.webp,abagrotis-turbulenta/Abagrotis turbulenta-A-V.jpg,legacy,full,91024
derived/abagrotis-variata/Abagrotis variata-A-D@320h.webp,abagrotis-variata/Abagrotis variata-A-D.jpg,legacy,320h,40682
derived/abagrotis-variata/Abagrotis variata-A-D@full.webp,abagrotis-variata/Abagrotis variata-A-D.jpg,legacy,full,83798
derived/abagrotis-variata/Abagrotis variata-A-V@320h.webp,abagrotis-variata/Abagrotis variata-A-V.jpg,legacy,320h,42630
derived/abagrotis-variata/Abagrotis variata-A-V@full.webp,abagrotis-variata/Abagrotis variata-A-V.jpg,legacy,full,88192
derived/abagrotis-variata/Abagrotis variata-B-D@320h.webp,abagrotis-variata/Abagrotis variata-B-D.jpg,legacy,320h,41940
derived/abagrotis-variata/Abagrotis variata-B-D@full.webp,abagrotis-variata/Abagrotis variata-B-D.jpg,legacy,full,85164
derived/abagrotis-variata/Abagrotis variata-B-V@320h.webp,abagrotis-variata/Abagrotis variata-B-V.jpg,legacy,320h,42092
derived/abagrotis-variata/Abagrotis variata-B-V@full.webp,abagrotis-variata/Abagrotis variata-B-V.jpg,legacy,full,85144
derived/abagrotis-vittifrons/Abagrotis vittifrons-A-D@320h.webp,abagrotis-vittifrons/Abagrotis vittifrons-A-D.jpg,legacy,320h,39612
derived/abagrotis-vittifrons/Abagrotis vittifrons-A-D@full.webp,abagrotis-vittifrons/Abagrotis vittifrons-A-D.jpg,legacy,full,77554
derived/abrostola-urentis/Abrostola urentis-A-D@320h.webp,abrostola-urentis/Abrostola urentis-A-D.jpg,legacy,320h,43838
derived/abrostola-urentis/Abrostola urentis-A-D@full.webp,abrostola-urentis/Abrostola urentis-A-D.jpg,legacy,full,87706
derived/abrostola-urentis/Abrostola urentis-A-V@320h.webp,abrostola-urentis/Abrostola urentis-A-V.jpg,legacy,320h,42550
derived/abrostola-urentis/Abrostola urentis-A-V@full.webp,abrostola-urentis/Abrostola urentis-A-V.jpg,legacy,full,84528
derived/acerra-normalis/Acerra normalis-A-D@320h.webp,acerra-normalis/Acerra normalis-A-D.jpg,legacy,320h,45348
derived/acerra-normalis/Acerra normalis-A-D@full.webp,acerra-normalis/Acerra normalis-A-D.jpg,legacy,full,95356
derived/acerra-normalis/Acerra normalis-A-V@320h.webp,acerra-normalis/Acerra normalis-A-V.jpg,legacy,320h,44920
derived/acerra-normalis/Acerra normalis-A-V@full.webp,acerra-normalis/Acerra normalis-A-V.jpg,legacy,full,91088
derived/acontia-coquillettii/Acontia coquillettii-A-D@320h.webp,acontia-coquillettii/Acontia coquillettii-A-D.jpg,legacy,320h,39680
derived/acontia-coquillettii/Acontia coquillettii-A-D@full.webp,acontia-coquillettii/Acontia coquillettii-A-D.jpg,legacy,full,74462
derived/acontia-coquillettii/Acontia coquillettii-A-V@320h.webp,acontia-coquillettii/Acontia coquillettii-A-V.jpg,legacy,320h,37386
derived/acontia-coquillettii/Acontia coquillettii-A-V@full.webp,acontia-coquillettii/Acontia coquillettii-A-V.jpg,legacy,full,65094
derived/acontia-coquillettii/Acontia coquillettii-B-D@320h.webp,acontia-coquillettii/Acontia coquillettii-B-D.jpg,legacy,320h,39708
derived/acontia-coquillettii/Acontia coquillettii-B-D@full.webp,acontia-coquillettii/Acontia coquillettii-B-D.jpg,legacy,full,74720
derived/acontia-coquillettii/Acontia coquillettii-B-V@320h.webp,acontia-coquillettii/Acontia coquillettii-B-V.jpg,legacy,320h,38974
derived/acontia-coquillettii/Acontia coquillettii-B-V@full.webp,acontia-coquillettii/Acontia coquillettii-B-V.jpg,legacy,full,73762
derived/acontia-cretata/Acontia cretata-A-D@320h.webp,acontia-cretata/Acontia cretata-A-D.jpg,legacy,320h,35800
derived/acontia-cretata/Acontia cretata-A-D@full.webp,acontia-cretata/Acontia cretata-A-D.jpg,legacy,full,65596
derived/acontia-cretata/Acontia cretata-A-V@320h.webp,acontia-cretata/Acontia cretata-A-V.jpg,legacy,320h,35512
derived/acontia-cretata/Acontia cretata-A-V@full.webp,acontia-cretata/Acontia cretata-A-V.jpg,legacy,full,65774
derived/acontia-cretata/Acontia cretata-B-D@320h.webp,acontia-cretata/Acontia cretata-B-D.jpg,legacy,320h,40068
derived/acontia-cretata/Acontia cretata-B-D@full.webp,acontia-cretata/Acontia cretata-B-D.jpg,legacy,full,77806
derived/acontia-cretata/Acontia cretata-B-V@320h.webp,acontia-cretata/Acontia cretata-B-V.jpg,legacy,320h,40428
derived/acontia-cretata/Acontia cretata-B-V@full.webp,acontia-cretata/Acontia cretata-B-V.jpg,legacy,full,77514
derived/acopa-perpallida/Acopa perpallida-A-D@320h.webp,acopa-perpallida/Acopa perpallida-A-D.jpg,legacy,320h,41986
derived/acopa-perpallida/Acopa perpallida-A-D@full.webp,acopa-perpallida/Acopa perpallida-A-D.jpg,legacy,full,82006
derived/acopa-perpallida/Acopa perpallida-A-V@320h.webp,acopa-perpallida/Acopa perpallida-A-V.jpg,legacy,320h,39374
derived/acopa-perpallida/Acopa perpallida-A-V@full.webp,acopa-perpallida/Acopa perpallida-A-V.jpg,legacy,full,74092
derived/acopa-perpallida/Acopa perpallida-B-D@320h.webp,acopa-perpallida/Acopa perpallida-B-D.jpg,legacy,320h,48496
derived/acopa-perpallida/Acopa perpallida-B-D@full.webp,acopa-perpallida/Acopa perpallida-B-D.jpg,legacy,full,100460
derived/acopa-perpallida/Acopa perpallida-B-V@320h.webp,acopa-perpallida/Acopa perpallida-B-V.jpg,legacy,320h,45292
